Key;HostName;HostTypeID;ActiveUser;OS;OSArchitecture;BiosSerial;SystemManufacturer;LastBootUpTime;SystemProductName;BuildNumber;ONC;Status;Kommentar;LetzteAenderung;isNew
PC-CORP-013__D9EB2DC;PC-CORP-013;Arbeitsstation;COMPANY\user011;Microsoft Windows 10 Enterprise;64-Bit;D9EB2DC;Dell Inc.;20.11.2025 07:03:10;OptiPlex 7050;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[378,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-014__16DBF61;PC-CORP-014;Arbeitsstation;COMPANY\user012;Microsoft Windows 11 Enterprise;64-Bit;16DBF61;Dell Inc.;05.05.2026 12:40:56;OptiPlex 3060;26100.8246;[1,1]\[1,2]\[2,4]\[2,5]\[460,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-015__3740557;PC-CORP-015;Arbeitsstation;COMPANY\user013;Microsoft Windows 10 Pro;64-Bit;3740557;Dell Inc.;09.04.2026 08:52:39;OptiPlex 7040;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[461,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-016__4C9A3C4;PC-CORP-016;Arbeitsstation;COMPANY\user014;Microsoft Windows 10 Enterprise;64-Bit;4C9A3C4;Dell Inc.;11.12.2025 15:42:18;OptiPlex 7050;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[473,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-017__8B12C72;PC-CORP-017;Arbeitsstation;COMPANY\user015;Microsoft Windows 10 Pro;64-Bit;8B12C72;Acer;12.03.2025 08:36:38;TravelMate P278-M;14393.2189;[1,1]\[1,2]\[2,4]\[2,5]\[481,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-018__6FFCC81;PC-CORP-018;Arbeitsstation;COMPANY\user016;Microsoft Windows 10 Enterprise;64-Bit;6FFCC81;Acer;02.03.2026 07:15:35;TravelMate P278-M;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[497,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-019__83D09D5;PC-CORP-019;Arbeitsstation;COMPANY\user017;Microsoft Windows 10 Pro;64-Bit;83D09D5;Dell Inc.;05.06.2025 17:14:27;Latitude E7470;18362.1256;[1,1]\[1,2]\[2,4]\[2,5]\[524,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-020__34C27F7;PC-CORP-020;Arbeitsstation;COMPANY\user018;Microsoft Windows 10 Pro;64-Bit;34C27F7;Dell Inc.;16.03.2026 16:47:58;OptiPlex 7050;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[526,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-021__AEC8F56;PC-CORP-021;Arbeitsstation;COMPANY\user019;Microsoft Windows 10 Enterprise;64-Bit;AEC8F56;Dell Inc.;15.10.2025 09:51:44;Latitude E7470;19044.3803;[1,1]\[1,2]\[2,4]\[2,5]\[528,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-022__DA8F51B;PC-CORP-022;Arbeitsstation;COMPANY\user020;Microsoft Windows 10 Enterprise;64-Bit;DA8F51B;Dell Inc.;03.12.2025 09:01:55;OptiPlex 7050;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[530,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-023__3619F89;PC-CORP-023;Arbeitsstation;COMPANY\user021;Microsoft Windows 10 Enterprise;64-Bit;3619F89;Dell Inc.;14.04.2026 08:54:14;OptiPlex 7070;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[532,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-024__4C88888;PC-CORP-024;Arbeitsstation;COMPANY\user022;Microsoft Windows 10 Pro;64-Bit;4C88888;Dell Inc.;02.10.2025 17:48:52;OptiPlex 7050;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[533,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-025__C06ECAA;PC-CORP-025;Arbeitsstation;;Microsoft Windows 10 Enterprise;64-Bit;C06ECAA;Acer;12.01.2026 14:41:08;TravelMate P278-M;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[542,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-026__BA5B4A0;PC-CORP-026;Arbeitsstation;COMPANY\user023;Microsoft Windows 10 Enterprise;64-Bit;BA5B4A0;VMware, Inc.;13.11.2025 21:35:23;VMware Virtual Platform;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[545,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-027__9CEB295;PC-CORP-027;Arbeitsstation;COMPANY\user024;Microsoft Windows 11 Enterprise;64-Bit;9CEB295;Dell Inc.;09.04.2026 12:38:56;OptiPlex 7060;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[548,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-028__DFD5781;PC-CORP-028;Arbeitsstation;COMPANY\user025;Microsoft Windows 11 Enterprise;64-Bit;DFD5781;Dell Inc.;10.04.2026 08:10:48;OptiPlex 7060;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[551,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-029__54939E2;PC-CORP-029;Arbeitsstation;COMPANY\user026;Microsoft Windows 11 Enterprise;64-Bit;54939E2;Dell Inc.;21.04.2026 08:19:21;OptiPlex 7060;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[555,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-030__A3A0728;PC-CORP-030;Arbeitsstation;COMPANY\user027;Microsoft Windows 10 Enterprise;64-Bit;A3A0728;Dell Inc.;14.01.2026 07:04:19;OptiPlex 7060;17763.107;[1,1]\[1,2]\[2,4]\[2,5]\[626,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-031__235C42B;PC-CORP-031;Arbeitsstation;COMPANY\user028;Microsoft Windows 11 Enterprise;64-Bit;235C42B;Dell Inc.;15.05.2026 06:34:17;OptiPlex 3060;26100.8246;[1,1]\[1,2]\[2,4]\[2,5]\[627,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-032__7812FF8;PC-CORP-032;Arbeitsstation;;Microsoft Windows 10 Enterprise;64-Bit;7812FF8;Dell Inc.;12.01.2026 11:28:26;Latitude E7470;17763.107;[1,1]\[1,2]\[2,4]\[2,5]\[817,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-033__8B2A403;PC-CORP-033;Arbeitsstation;COMPANY\user029;Microsoft Windows 11 Enterprise;64-Bit;8B2A403;Dell Inc.;13.05.2026 08:11:44;OptiPlex 7070;26100.8246;[1,1]\[1,2]\[2,4]\[2,5]\[845,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-034__D275AB6;PC-CORP-034;Arbeitsstation;COMPANY\user030;Microsoft Windows 11 Enterprise;64-Bit;D275AB6;Dell Inc.;15.04.2026 10:12:14;OptiPlex 3070;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[891,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-035__0FFFC9D;PC-CORP-035;Arbeitsstation;COMPANY\user031;Microsoft Windows 10 Enterprise;64-Bit;0FFFC9D;Acer;01.10.2025 07:39:28;TravelMate P278-M;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[924,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-036__6E127F2;PC-CORP-036;Arbeitsstation;COMPANY\user032;Microsoft Windows 10 Enterprise;64-Bit;6E127F2;Dell Inc.;15.05.2026 08:10:59;OptiPlex 3070;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[939,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-037__3CD96E1;PC-CORP-037;Arbeitsstation;COMPANY\user033;Microsoft Windows 11 Enterprise;64-Bit;3CD96E1;Dell Inc.;06.05.2026 12:48:06;OptiPlex 3070;26100.8246;[1,1]\[1,2]\[2,4]\[2,5]\[948,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-038__4FED060;PC-CORP-038;Arbeitsstation;COMPANY\user034;Microsoft Windows 11 Enterprise;64-Bit;4FED060;Dell Inc.;10.04.2026 11:43:37;OptiPlex 3070;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[952,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-039__C265C71;PC-CORP-039;Arbeitsstation;COMPANY\user035;Microsoft Windows 11 Enterprise;64-Bit;C265C71;Dell Inc.;12.05.2026 13:00:27;OptiPlex 7000;26100.8246;[1,1]\[1,2]\[2,4]\[2,5]\[955,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-040__E73FDE4;PC-CORP-040;Arbeitsstation;COMPANY\user036;Microsoft Windows 10 Enterprise;64-Bit;E73FDE4;Dell Inc.;01.04.2026 09:21:13;OptiPlex 3070;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[959,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-041__C96ED28;PC-CORP-041;Arbeitsstation;COMPANY\user037;Microsoft Windows 7 Professional;64-Bit;C96ED28;FUJITSU;21.01.2020 10:15:47;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1025,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-042__DF8084A;PC-CORP-042;Arbeitsstation;COMPANY\user038;Microsoft Windows 7 Professional;64-Bit;DF8084A;FUJITSU;21.01.2020 09:29:36;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1027,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-043__3C558BA;PC-CORP-043;Arbeitsstation;COMPANY\user039;Microsoft Windows 7 Professional;64-Bit;3C558BA;FUJITSU;21.01.2020 09:32:30;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1028,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-044__E1A376D;PC-CORP-044;Arbeitsstation;COMPANY\user040;Microsoft Windows 7 Professional;64-Bit;E1A376D;FUJITSU;21.01.2020 09:21:46;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1029,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-045__0B5A1A1;PC-CORP-045;Arbeitsstation;COMPANY\user041;Microsoft Windows 7 Professional;64-Bit;0B5A1A1;FUJITSU;21.01.2020 08:04:48;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1030,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-046__B6D976D;PC-CORP-046;Arbeitsstation;COMPANY\user042;Microsoft Windows 7 Professional;64-Bit;B6D976D;FUJITSU;21.01.2020 07:48:30;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1031,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-047__0A505BC;PC-CORP-047;Arbeitsstation;COMPANY\user043;Microsoft Windows 7 Professional;64-Bit;0A505BC;FUJITSU;21.01.2020 10:16:05;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1032,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-048__57D54C8;PC-CORP-048;Arbeitsstation;COMPANY\user044;Microsoft Windows 7 Professional;64-Bit;57D54C8;FUJITSU;21.01.2020 09:34:12;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1033,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-049__46BBDD5;PC-CORP-049;Arbeitsstation;COMPANY\user045;Microsoft Windows 7 Professional;64-Bit;46BBDD5;FUJITSU;21.01.2020 07:50:17;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1034,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-050__6E4736F;PC-CORP-050;Arbeitsstation;COMPANY\user046;Microsoft Windows 7 Professional;64-Bit;6E4736F;FUJITSU;21.01.2020 07:48:54;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1035,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-051__2E0750B;PC-CORP-051;Arbeitsstation;COMPANY\user047;Microsoft Windows 7 Professional;64-Bit;2E0750B;FUJITSU;21.01.2020 09:57:23;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1036,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-052__6757232;PC-CORP-052;Arbeitsstation;COMPANY\user048;Microsoft Windows 7 Professional;64-Bit;6757232;FUJITSU;21.01.2020 09:28:49;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1037,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-053__9CD92BF;PC-CORP-053;Arbeitsstation;COMPANY\user049;Microsoft Windows 7 Professional;64-Bit;9CD92BF;FUJITSU;21.01.2020 07:49:02;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1038,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-054__32A250A;PC-CORP-054;Arbeitsstation;;Microsoft Windows 7 Professional;64-Bit;32A250A;FUJITSU;21.01.2020 09:58:46;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1039,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-055__C7118E8;PC-CORP-055;Arbeitsstation;COMPANY\user050;Microsoft Windows 7 Professional;64-Bit;C7118E8;FUJITSU;21.01.2020 07:48:36;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1040,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-056__62D6477;PC-CORP-056;Arbeitsstation;COMPANY\user051;Microsoft Windows 7 Professional;64-Bit;62D6477;FUJITSU;21.01.2020 07:57:59;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1041,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-057__92ADDE1;PC-CORP-057;Arbeitsstation;COMPANY\user052;Microsoft Windows 7 Professional;64-Bit;92ADDE1;FUJITSU;21.01.2020 07:57:54;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1042,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-058__ACAC933;PC-CORP-058;Arbeitsstation;COMPANY\user053;Microsoft Windows 7 Professional;64-Bit;ACAC933;FUJITSU;21.01.2020 07:55:52;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1043,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-059__D3AE952;PC-CORP-059;Arbeitsstation;COMPANY\user045;Microsoft Windows 7 Professional;64-Bit;D3AE952;FUJITSU;21.01.2020 09:29:46;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1044,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-060__4D61D9B;PC-CORP-060;Arbeitsstation;COMPANY\user054;Microsoft Windows 7 Professional;64-Bit;4D61D9B;FUJITSU;21.01.2020 07:47:47;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1045,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-061__8C82326;PC-CORP-061;Arbeitsstation;COMPANY\user055;Microsoft Windows 7 Professional;64-Bit;8C82326;FUJITSU;21.01.2020 07:47:47;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1046,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-062__B864BAA;PC-CORP-062;Arbeitsstation;COMPANY\user056;Microsoft Windows 7 Professional;64-Bit;B864BAA;FUJITSU;21.01.2020 07:52:28;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1047,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-063__AD52128;PC-CORP-063;Arbeitsstation;COMPANY\user057;Microsoft Windows 7 Professional;64-Bit;AD52128;FUJITSU;21.01.2020 09:30:16;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1048,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-064__F09DC9C;PC-CORP-064;Arbeitsstation;COMPANY\user046;Microsoft Windows 7 Professional;64-Bit;F09DC9C;FUJITSU;21.01.2020 09:30:56;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1049,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-065__5667613;PC-CORP-065;Arbeitsstation;COMPANY\user058;Microsoft Windows 7 Professional;64-Bit;5667613;FUJITSU;21.01.2020 09:28:57;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1050,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-066__4BAFEA0;PC-CORP-066;Arbeitsstation;COMPANY\user059;Microsoft Windows 7 Professional;64-Bit;4BAFEA0;FUJITSU;21.01.2020 09:29:30;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1051,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-067__316498F;PC-CORP-067;Arbeitsstation;COMPANY\user060;Microsoft Windows 7 Professional;64-Bit;316498F;FUJITSU;21.01.2020 09:28:44;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1052,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-068__30DDA2B;PC-CORP-068;Arbeitsstation;COMPANY\user061;Microsoft Windows 7 Professional;64-Bit;30DDA2B;FUJITSU;21.01.2020 07:52:40;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1053,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-069__A37C85D;PC-CORP-069;Arbeitsstation;COMPANY\user062;Microsoft Windows 7 Professional;64-Bit;A37C85D;FUJITSU;21.01.2020 09:39:12;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1054,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-070__F07570B;PC-CORP-070;Arbeitsstation;;Microsoft Windows 7 Professional;64-Bit;F07570B;FUJITSU;21.01.2020 10:08:47;ESPRIMO E420;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1055,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-071__80C9CB3;PC-CORP-071;Arbeitsstation;;Microsoft Windows 7 Professional;64-Bit;80C9CB3;FUJITSU;21.01.2020 10:02:34;ESPRIMO C720;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1056,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-072__9EA032F;PC-CORP-072;Arbeitsstation;;Microsoft Windows 7 Professional;64-Bit;9EA032F;FUJITSU;21.01.2020 10:03:08;ESPRIMO_D756;7601;[11,1]\[11,2]\[16,4]\[16,5]\[1057,6]\[Allgemein,130]\[Microsoft Windows 7 Professional,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-073__EDBC3C7;PC-CORP-073;Arbeitsstation;;Microsoft Windows 10 Education;64-Bit;EDBC3C7;LENOVO;21.01.2020 10:03:31;81AX;15063;[11,1]\[11,2]\[16,4]\[16,5]\[1058,6]\[Allgemein,130]\[Microsoft Windows 10 Education,131];Neu;;2026-05-18T11:57:15.361Z;true
